english,amazigh,tifinagh,script
I work,Nekk ttmahaleɣ,,Latin
I work,Ttmahaleɣ,,Latin
Listen,Sel,,Latin
Listen,Smuzget,,Latin
No way,D awezɣi,,Latin
Really,D tidet,,Latin
Really,,ⵜⵉⴷⴻⵜ,tifinagh
Thanks,Tanemmirt,,Latin
Thanks,Tanemmirtnnek,,Latin
Thanks,,ⵜⴰⵏⴻⵎⵎⵉⵔⵜ,tifinagh
We ate,Nečča,,Latin
We hid,Nella netteffer,,Latin
We hid,Neffer,,Latin
We ran,Nuzzel,,Latin
We try,La nettarem,,Latin
We try,La nɛerreḍ,,Latin
We won,Nerna,,Latin
Why me,Acimi d nekk,,Latin
Why me,,ⵎⴰⵅ ⵏⵉⴽ,tifinagh
Ask Tom,Tter Tom,,Latin
Ask Tom,Sesten Tom,,Latin
Ask Tom,Sseqsi Tom,,Latin
Ask him,Tterit,,Latin
Ask him,Ssuteras,,Latin
Awesome,,ⵓⵔ ⵉⵍⵍⵉ ⵎⴰⵜ ⵢⵓⴼⵏ,tifinagh
Awesome,,ⵉⵛⵡⴰ ⴱⴰⵀⵔⴰ,tifinagh
Back in,Uɣal,,Latin
Be calm,Hedden imannnek,,Latin
Be calm,Hedden imannnem,,Latin
Be calm,Heddnet imannwen,,Latin
Be calm,Heddnemt imannwent,,Latin
Be cool,Ilik telhid,,Latin
Be cool,Ilikem telhid,,Latin
Be cool,Ilitken telham,,Latin
Be cool,Ilimtkent telhamt,,Latin
Be fair,Ilik d uɣdim,,Latin
Be fair,Ilikem d tuɣdimt,,Latin
Be fair,Ilitken d uɣdimen,,Latin
Be fair,Ilimtkent d tuɣdimin,,Latin
Be good,Ilik telhid,,Latin
Be good,Ilikem telhid,,Latin
Be good,Iliken telham,,Latin
Be good,Ilikent telhamt,,Latin
Be good,Ilik d amelhu,,Latin
Be good,Ilikem d tamelhut,,Latin
Be good,Iliken d imelha,,Latin
Be good,Ilikent d timelha,,Latin
Be good,Ili d amelhu,,Latin
Be good,Ili d tamelhut,,Latin
Be good,Ilit d imelha,,Latin
Be good,Ilim d imelha,,Latin
Be good,Ilimt d timelha,,Latin
Be kind,Ilik d uḥdiq,,Latin
Be kind,Ilikem d tuḥdiqt,,Latin
Be kind,Ilitken d uḥdiqen,,Latin
Be kind,Ilimtkent d tuḥdiqin,,Latin
Be nice,Ilik telhid,,Latin
Be nice,Ilikem telhid,,Latin
Be nice,Ilitken telham,,Latin
Be nice,Ilimtkent telhamt,,Latin
Bury it,Mḍelit,,Latin
Bury it,Mḍelitt,,Latin
Bury it,Meḍlett,,Latin
Bury it,Meḍlettt,,Latin
Bury it,Meḍlemt,,Latin
Bury it,Meḍlemtt,,Latin
Bury it,Meḍlemttt,,Latin
Call me,Ɣeriyid,,Latin
Call us,Ɣeraɣd,,Latin
Come in,Kcemd,,Latin
Come in,Adefd,,Latin
Come in,Adfetd,,Latin
Come in,Adfemtd,,Latin
Come in,Kecmetd,,Latin
Come on,Aha,,Latin
Come on,Aywa,,Latin
Do this,Eg aya,,Latin
Drop it,Llefas,,Latin
Drop it,Llfetas,,Latin
Drop it,Llfemas,,Latin
Drop it,Llfemtas,,Latin
Fold it,Ḍfesit,,Latin
Get Tom,Ḍḍefd Tom,,Latin
Get Tom,Ḍḍfetd Tom,,Latin
Get Tom,Ḍḍfemtd Tom,,Latin
Get out,Ffeɣ,,Latin
Get out,Ffeɣ felli,,Latin
Get out,Ffeɣ fellaneɣ,,Latin
Go away,Erẓ akkin,,Latin
Go away,Ddu,,Latin
Go away,Uɣal akkin,,Latin
Goodbye,,ⴰⵔ ⵜⵓⴼⴰⵜ,tifinagh
Hang on,Ṛju,,Latin
Hang on,Ggani,,Latin
He came,Yusd,,Latin
He came,Yusad,,Latin
He came,Netta yusad,,Latin
He left,Yeffeɣ,,Latin
He left,Yedda,,Latin
He left,Netta yedda,,Latin
He runs,Yettazzal,,Latin
Help me,Aleliyi,,Latin
Help me,Alletiyi,,Latin
Help me,Allemiyi,,Latin
Help me,Allemtiyi,,Latin
Help us,Ɛawenaneɣ,,Latin
Hi Tom,Azul a Tom,,Latin
Hit Tom,Wet Tom,,Latin
Hold it,Ṭṭefit,,Latin
Hold it,Ṭṭefitt,,Latin
Hold it,Ṭṭfettt,,Latin
Hold it,Ṭṭfett,,Latin
Hold it,Ṭṭfemt,,Latin
Hold it,Ṭṭfemtt,,Latin
Hold it,Ṭṭfemttt,,Latin
Hold on,Ṛju,,Latin
Hug Tom,Ḥmec Tom,,Latin
I moved,Guǧǧeɣ,,Latin
I moved,Nekk guǧǧeɣ,,Latin
I skied,Cgefleɣ,,Latin
I slept,Ṭṭseɣ,,Latin
Im fat,Zureɣ,,Latin
Im fat,Nekk zureɣ,,Latin
Im hot,Yenɣaiyi weẓɣal,,Latin
Im ill,Aqliyi uḍneɣ,,Latin
Its OK,Ulac aɣilif,,Latin
Its me,D nekk,,Latin
Its me,D nekk aya,,Latin
Join us,Rnud ɣurneɣ,,Latin
Keep it,Jmeɛit,,Latin
Keep it,Jemɛett,,Latin
Keep it,Jemɛemtt,,Latin
Keep it,Jmeɛitt,,Latin
Keep it,Jemɛettt,,Latin
Keep it,Jemɛemttt,,Latin
Kiss me,Ssudeniyi,,Latin
Kiss me,Ssudnetiyi,,Latin
Kiss me,Ssudnemiyi,,Latin
Kiss me,Ssudnemtiyi,,Latin
Me too,Ula d nekk,,Latin
Move on,Lḥu ɣer sdat,,Latin
Open it,Ldit,,Latin
Open up,Ldey,,Latin
Perfect,Ifaz,,Latin
Perfect,D aneblal,,Latin
See you,Ar ticki,,Latin
See you,Ar timlilit,,Latin
Show me,Sskeniyid,,Latin
Show me,Sseknetiyid,,Latin
Show me,Sseknemtiyid,,Latin
Shut up,Zemmem imik,,Latin
Stop it,Ḥbesit,,Latin
Stop it,Ḥbesitt,,Latin
Stop it,Ḥebsett,,Latin
Stop it,Ḥebsemt,,Latin
Stop it,Ḥebsemtt,,Latin
Stop it,Ḥebsettt,,Latin
Stop it,Ḥebsemttt,,Latin
Stop it,Ssebdedit,,Latin
Stop it,Ssebdeditt,,Latin
Stop it,Sbeddett,,Latin
Stop it,Sbeddettt,,Latin
Stop it,Sbeddemt,,Latin
Stop it,Sbeddemtt,,Latin
Stop it,Sbeddemttt,,Latin
Take it,Awit,,Latin
Take it,Awitt,,Latin
Take it,Awittt,,Latin
Take it,Awimt,,Latin
Take it,Awimtt,,Latin
Take it,Awimttt,,Latin
Tell me,Iniiyid,,Latin
Tell me,Initiyid,,Latin
Tell me,Inimiyid,,Latin
Tell me,Inimtiyid,,Latin
Text me,Aruiyid azenwal,,Latin
Tom ate,Tom yecca,,Latin
Tom ate,Tom yečča,,Latin
Tom ate,Yečča Tom,,Latin
Tom hid,Tom yeffer,,Latin
Tom ran,Tom yuzzel,,Latin
Tom ran,Yuzzel Tom,,Latin
Tom won,Tom yerbeḥ,,Latin
Tom won,Yerbeḥ Tom,,Latin
Wake up,Akid,,Latin
Wash up,Ssired,,Latin
We care,Nefka azal i waya,,Latin
We know,Nessen,,Latin
We know,Neẓra,,Latin
We know,Nekkni neẓra,,Latin
We know,Nekkni nessen,,Latin
We lost,Nexser,,Latin
We lost,Nekkni nexṣer,,Latin
Welcome,Anṣuf,,Latin
Welcome,,ⴱⴻⵔⵔⴽ,tifinagh
Welcome,,ⴰⵏⵚⵓⴼ  ⴱⴻⵔⵔⴽ,tifinagh
Who ate,Anwa ay yeččan,,Latin
Who ate,Anwa i yeččan,,Latin
Who ate,Anta i yeččan,,Latin
Who ate,Anwi i yeččan,,Latin
Who ate,Anti i yeččan,,Latin
Why not,Acimi ala,,Latin
You run,Tettazzaleḍ,,Latin
You win,Trebḥed,,Latin
You win,Trebḥeḍ,,Latin
You win,Trebḥem,,Latin
You win,Trebḥemt,,Latin
You win,Tellummẓed,,Latin
You win,Tellummẓeḍ,,Latin
You win,Tellummẓem,,Latin
You win,Tellummẓemt,,Latin
You win,D kečč ay irebḥen,,Latin
You win,D kemm ay irebḥen,,Latin
You win,D kenwi ay irebḥen,,Latin
You win,D kennemti ay irebḥen,,Latin
You win,D kečč ay yellummẓen,,Latin
You win,D kemm ay yellummẓen,,Latin
You win,D kenwi ay yellummẓen,,Latin
You win,D kennemti ay yellummẓen,,Latin
You won,Trebḥed,,Latin
You won,Trebḥeḍ,,Latin
Add milk,Rnu akeffay,,Latin
Add milk,Rnut akeffay,,Latin
Add milk,Rnum akeffay,,Latin
Add milk,Rnumt akeffay,,Latin
All rise,Kkremt ilkell,,Latin
Am I fat,Zureɣ,,Latin
Am I fat,Ɛni zureɣ,,Latin
Ask them,Tteriten,,Latin
Ask them,Tteritent,,Latin
Ask them,Ssuterasen,,Latin
Ask them,Ssuterasent,,Latin
Avoid me,Ɣas ssinefiyi,,Latin
Avoid me,Ɣas ssinfetiyi,,Latin
Avoid me,Ɣas ssinfemiyi,,Latin
Avoid me,Ɣas ssinfemtiyi,,Latin
Back off,Qqel ɣer deffir,,Latin
Be a man,Ilik d argaz,,Latin
Be brave,Ili d abɣas,,Latin
Be brave,Ili d tabɣast,,Latin
Be brave,Ilit d ibɣasen,,Latin
Be brave,Ilim d ibɣasen,,Latin
Be brave,Ilimt d tibɣasin,,Latin
Be brave,Ilik d abɣas,,Latin
Be brave,Ilikem d tabɣast,,Latin
Be brave,Iliken d ibɣasen,,Latin
Be brave,Ilikent d tibɣasin,,Latin
Be brief,Ilik d awezlan,,Latin
Be brief,Ilikem d tawezlant,,Latin
Be brief,Iliken d iwezlanen,,Latin
Be brief,Ilikent d tiwezlanin,,Latin
Be brief,Ili d awezlan,,Latin
Be brief,Ili d tawezlant,,Latin
Be brief,Ilit d iwezlanen,,Latin
Be brief,Ilim d iwezlanen,,Latin
Be brief,Ilimt d tiwezlanin,,Latin
Be quick,Ɣiwlet,,Latin
Be quick,Ɣiwlemt,,Latin
Be quick,Ɣiwel,,Latin
Be quiet,Susem,,Latin
Be quiet,Susmet,,Latin
Be quiet,Susmem,,Latin
Be quiet,Susmemt,,Latin
Be smart,Ili d amiɣis,,Latin
Be still,Qqim ur ttewliwil ara,,Latin
Be still,Qqimet ur ttewliwilet ara,,Latin
Be still,Qqimemt ur ttewliwilemt ara,,Latin
Be still,Qqimem ur ttewliwilet ara,,Latin
Bye Tom,Ar tufat a Tom,,Latin
Bye Tom,Ar timlilit a Tom,,Latin
Call Tom,Ɣeras i Tom,,Latin
Call Tom,Ɣretas i Tom,,Latin
Call Tom,Ɣremas i Tom,,Latin
Call Tom,Ɣremtas i Tom,,Latin
Catch me,Ṭṭefiyid,,Latin
Catch me,Ṭṭfetiyid,,Latin
Catch me,Ṭṭfemiyid,,Latin
Catch me,Ṭṭfemtiyid,,Latin
Cheer up,Fṛeḥ,,Latin
Cheer up,Ur ḥezzen ara,,Latin
Cuff him,Erras ticekkalin,,Latin
Cuff him,Rretas ticekkalin,,Latin
Cuff him,Rremtas ticekkalin,,Latin
Drive on,Kemmel tanhaṛt,,Latin
Drive on,Kemmlet tanhaṛt,,Latin
Drive on,Kemmlent tanhaṛt,,Latin
Find Tom,Afd Tom,,Latin
Find Tom,Afetd Tom,,Latin
Find Tom,Afemd Tom,,Latin
Find Tom,Afemtd Tom,,Latin
Fix that,Ṣeggem aya,,Latin
Fix that,Ṣeggmet aya,,Latin
Fix that,Ṣeggmem aya,,Latin
Fix that,Ṣeggmemt aya,,Latin
For real,D tidet,,Latin
Get away,Ffeɣ sega,,Latin
Get away,Erẓ akkin,,Latin
Get down,Ṣubb,,Latin
Get down,Ader,,Latin
Get down,Adret,,Latin
Get down,Adremt,,Latin
Get lost,Qewwed,,Latin
Get lost,Ṛuḥ felli,,Latin
Get lost,Ṛuḥet felli,,Latin
Get lost,Ṛuḥemt felli,,Latin
Get lost,Qewwdet,,Latin
Get lost,Qewwdemt,,Latin
Get lost,Qewwed felli,,Latin
Get lost,Qewwdet fell,,Latin
Get lost,Qewwdemt felli,,Latin
Get lost,Rreẓ akkin,,Latin
Get lost,Rrẓet akkin,,Latin
Get lost,Rrẓemt akkin,,Latin
Get this,Awi wa,,Latin
Get this,Awit wa,,Latin
Get this,Awim wa,,Latin
Get this,Awimt wa,,Latin
Go ahead,Aha,,Latin
Good job,D axeddim yelhan,,Latin
Good job,D amahil yelhan,,Latin
Grab Tom,Ḍḍefd Tom,,Latin
Grab Tom,Ḍḍfetd Tom,,Latin
Grab Tom,Ḍḍfemtd Tom,,Latin
Grab him,Ḍḍefitid,,Latin
Grab him,Ḍḍfettid,,Latin
Grab him,Ḍḍfemttid,,Latin
He spoke,Yessaweld,,Latin
He tried,Yeɛreḍ,,Latin
He tried,Yurem,,Latin
He tries,La iɛerreḍ,,Latin
He tries,La yettarem,,Latin
Hes wet,Atan yebzeg,,Latin
Help Tom,Ɛawen Tom,,Latin
Help Tom,Ɛawnet Tom,,Latin
Help Tom,Ɛawnem Tom,,Latin
Help Tom,Ɛawnemt Tom,,Latin
Help Tom,Alel Tom,,Latin
Help Tom,Allet Tom,,Latin
Help Tom,Allem Tom,,Latin
Help Tom,Allemt Tom,,Latin
Hit that,Ḥazit,,Latin
Hit that,Ḥazett,,Latin
Hit that,Ḥazemt,,Latin
Hit that,Ḥazemtt,,Latin
Hit that,Ḥazitt,,Latin
Hit that,Ḥazettt,,Latin
Hit that,Ḥazemttt,,Latin
Hit this,Ḥaz wa,,Latin
Hit this,Ḥazet wa,,Latin
Hit this,Ḥazem wa,,Latin
Hit this,Ḥazemt wa,,Latin
How cute,I d umliḥ,,Latin
How deep,Anect i d alqayan,,Latin
Hurry up,Ɣiwel,,Latin
Hurry up,Ɣiwlet,,Latin
Hurry up,Ɣiwlemt,,Latin
I agreed,Nekk qebleɣ,,Latin
I agreed,Qebleɣ,,Latin
I agreed,Deggeɣ,,Latin
I agreed,Nekk deggeɣ,,Latin
I ate it,Ččiɣt,,Latin
I ate it,Ččiɣtt,,Latin
I can go,Zemreɣ ad ṛuḥeɣ,,Latin
I can go,Zemreɣ ad dduɣ,,Latin
I cooked,Lliɣ ssewwayeɣ,,Latin
I did it,D nekk ay igan aya,,Latin
I did it,Giɣtt,,Latin
I forgot,Ttuɣ,,Latin
I forgot,Nekk ttuɣ,,Latin
I garden,Ttbeḥḥireɣ,,Latin
I get by,Ttsellikeɣ iɣefinu,,Latin
I get it,Gziɣ,,Latin
I got it,Fehmeɣ,,Latin
I helped,Ulleɣ,,Latin
I obeyed,Lliɣ ttaɣeɣ awal,,Latin
I obeyed,Uɣeɣ awal,,Latin
I obeyed,Nekk uɣeɣ awal,,Latin
I obeyed,Nekk lliɣ ttaɣeɣ awal,,Latin
I played,Lliɣ tturareɣ,,Latin
I resign,Ad ttixreɣ,,Latin
I skated,Sfuccgeɣ,,Latin
I stayed,Qqimeɣ,,Latin
I use it,Sseqdaceɣt,,Latin
I use it,Sseqdaceɣtt,,Latin
I waited,Gganiɣ,,Latin
Im a DJ,Nekk d adiji,,Latin
Im back,Qqleɣd,,Latin
Im back,Uɣaleɣd,,Latin
Im busy,Aqliyi wweẓlaɣ,,Latin
Im cold,Yenɣaiyi usemmiḍ,,Latin
Im fine,Ur iyiyuɣ wara,,Latin
Im fine,Fejjijeɣ,,Latin
Im fine,Aqliyi bxir,,Latin
Im fine,Ifejjij,,Latin
Im fine,Igerrez,,Latin
Im full,Ṛwiɣ,,Latin
Im good,Lhiɣ,,Latin
Im here,Aqlin da,,Latin
Im late,Ɛeṭṭleɣ,,Latin
Im lost,Ɛerqeɣ,,Latin
Im sick,Aqliyi uḍneɣ,,Latin
Im warm,Ḥmiɣ,,Latin
It works,Tečča,,Latin
Its Tom,D Tom aya,,Latin
Its Tom,D Tom,,Latin
Its hot,D aẓɣal,,Latin
Its new,Aya d amaynu,,Latin
Keep out,Ur dttadef ara,,Latin
Keep out,Ur dttadfet ara,,Latin
Keep out,Ur dttadfemt ara,,Latin
Kill Tom,Neɣ Tom,,Latin
Kill Tom,Nɣet Tom,,Latin
Kill Tom,Nɣem Tom,,Latin
Kill Tom,Nɣemt Tom,,Latin
Kiss Tom,Ssuden Tom,,Latin
Kiss Tom,Ssudnet Tom,,Latin
Kiss Tom,Ssudnem Tom,,Latin
Kiss Tom,Ssudment Tom,,Latin
Leave it,Eǧǧit,,Latin
Leave it,Ǧǧett,,Latin
Leave it,Ǧǧemtt,,Latin
Leave it,Eǧǧitt,,Latin
Leave it,Ǧǧettt,,Latin
Leave it,Ǧǧemttt,,Latin
Leave me,Ǧǧetiyi,,Latin
Leave me,Ajji,,Latin
Leave me,Eǧǧiyi,,Latin
Leave me,Ǧǧemtiyi,,Latin
Leave me,Ǧǧemiyi,,Latin
Leave us,Eǧǧaɣ,,Latin
Leave us,Ǧǧetaɣ,,Latin
Leave us,Ǧǧemtaɣ,,Latin
Lets go,Ad neddu,,Latin
Lets go,Yyat ad nṛuḥet,,Latin
Look out,Ɣurk,,Latin
Marry me,Aɣiyi,,Latin
May I go,Ulac aɣilif ma ddiɣ,,Latin
Nonsense,,ⴰⵡⴰⵍ ⴳⴰⵔ ⵜⴰⴹⴼⵉ,tifinagh
Now stop,Ḥbes tura,,Latin
Save Tom,Ssukkesd Tom,,Latin
Save Tom,Ssukksetd Tom,,Latin
Save Tom,Ssukksemd Tom,,Latin
Save Tom,Ssukksemtd Tom,,Latin
Say when,Inid ayweq,,Latin
She came,Tusad,,Latin
She left,Tedda,,Latin
She left,Tṛuḥ,,Latin
She left,Nettat tedda,,Latin
Sit down,Qqim,,Latin
Speak up,Ɛeyyeḍ akken ad aknsel,,Latin
Stand by,Ṛju,,Latin
Stand up,Nker,,Latin
Stand up,Nekret,,Latin
Stand up,Nekremt,,Latin
Stand up,Bded,,Latin
Stand up,Beddet,,Latin
Stand up,Beddemt,,Latin
Stay put,Ur ttewliwil ara,,Latin
Stay put,Ur ttewliwilet ara,,Latin
Stay put,Ur ttewliwilem ara,,Latin
Stay put,Ur ttewliwilemt ara,,Latin
Stay put,Qqim anda tellid,,Latin
Stay put,Qqimet anda tellam,,Latin
Stay put,Qqimemt anda tellamt,,Latin
Stop Tom,Ḥbes Tom,,Latin
Stop Tom,Ḥebset Tom,,Latin
Stop Tom,Ḥebsem Tom,,Latin
Stop Tom,Ḥebsemt Tom,,Latin
Take Tom,Awi Tom,,Latin
Take Tom,Awit Tom,,Latin
Take Tom,Awim Tom,,Latin
Take Tom,Awimt Tom,,Latin
Tell Tom,Inias i Tom,,Latin
Tell Tom,Initas i Tom,,Latin
Tell Tom,Inimas i Tom,,Latin
Tell Tom,Inimtas i Tom,,Latin
Terrific,Igerrez,,Latin
Terrific,Iwenneε,,Latin
Terrific,,ⵉⵛⵡⴰ,tifinagh
They won,Rebḥen,,Latin
They won,Rebḥent,,Latin
Tom came,Tom yusad,,Latin
Tom came,Yusad Tom,,Latin
Tom died,Yemmut Tom,,Latin
Tom fell,Tom yeɣli,,Latin
Tom fell,Yeɣli Tom,,Latin
Tom fled,Tom yerwel,,Latin
Tom fled,Yerwel Tom,,Latin
Tom knew,Tom yella yeẓra,,Latin
Tom left,Tom yedda,,Latin
Tom left,Yedda Tom,,Latin
Tom lied,Tom yeskerkes,,Latin
Tom lied,Yeskerkes Tom,,Latin
Tom lies,Tom yeskerkis,,Latin
Tom lost,Tom yexṣer,,Latin
Tom lost,Yexṣer Tom,,Latin
Tom paid,Ixelleṣ Tom,,Latin
Tom paid,Tom ixelleṣ,,Latin
Tom paid,D Tom ay ixellṣen,,Latin
Tom quit,Tom yettaxerd seg uxeddim,,Latin
Tom quit,Tom yettaxer,,Latin
Tom quit,Yettaxer Tom,,Latin
Tom quit,Tom yettaxer seg uxeddim,,Latin
Tom quit,Tom yettaxer seg umahil,,Latin
Tom quit,Tom yettaxerd seg umahil,,Latin
Tom quit,Tom yettaxerd seg lxedma,,Latin
Tom quit,Tom yettaxerd seg lxedmannes,,Latin
Tom sang,Tom yella icennu,,Latin
Tom sang,Tom yecna,,Latin
Tom sang,Tom yecnad,,Latin
Tom sang,Yecna Tom,,Latin
Tom sang,Yecnad Tom,,Latin
Tom spit,Tom yessusef,,Latin
Tom spit,Yessusef Tom,,Latin
Tom swam,Tom iɛum,,Latin
Tom wept,Iru Tom,,Latin
Tom wept,Tom iru,,Latin
Toms up,Tom yeččer,,Latin
Too late,Iṛuḥ lḥal,,Latin
Trust me,Eg degi laman,,Latin
Trust me,Get degi laman,,Latin
Trust me,Gem degi laman,,Latin
Trust me,Gemt degi laman,,Latin
Try hard,Ɛreḍ anect umi tzemreḍ,,Latin
Try hard,Arem anect umi tzemred,,Latin
Try hard,Eg akk ayen umi tzemred,,Latin
Try hard,Eg ayen umi tzemred,,Latin
Try some,Ɛreḍ cwiṭ,,Latin
Try some,Arem cwiṭ,,Latin
Try this,Arem wa,,Latin
Try this,Arem aya,,Latin
Try this,Ɛreḍ wa,,Latin
Use this,Sseqdec aya,,Latin
Use this,Sseqdec wa,,Latin
Visit us,Rzud fellaneɣ,,Latin
Warn Tom,Ɛeyyenas i Tom,,Latin
Warn Tom,Ɛeyynetas i Tom,,Latin
Warn Tom,Ɛeyynemas i Tom,,Latin
Warn Tom,Ɛeyynemtas i Tom,,Latin
Warn Tom,Ccaɣli Tom,,Latin
Warn Tom,Ccaɣlit Tom,,Latin
Warn Tom,Ccaɣlim Tom,,Latin
Warn Tom,Ccaɣlimt Tom,,Latin
Watch me,Mmuqqeliyi,,Latin
Watch me,Mmuqqletiyi,,Latin
Watch me,Mmuqqlemiyi,,Latin
Watch me,Mmuqqlemtiyi,,Latin
Watch us,Mmuqqelaneɣ,,Latin
We agree,Nwufeq,,Latin
We moved,Nguǧǧ,,Latin
Were OK,Aqlaɣ bxir,,Latin
What for,I wacu,,Latin
What for,Afad ad mi,,Latin
What fun,Yetεedda,,Latin
Who am I,Anwa ay iyiilan,,Latin
Who came,Anwa ay dyusan,,Latin
Who died,Anwa ay yemmuten,,Latin
Write me,Aruiyid,,Latin
Write me,Arutiyid,,Latin
Write me,Arumiyid,,Latin
Write me,Arumtiyid,,Latin
Write me,Ttaruiyid,,Latin
Write me,Ttarutiyid,,Latin
Write me,Ttarumiyid,,Latin
Write me,Ttarumtiyid,,Latin
You fool,A abajjar,,Latin
You fool,A tabajjart,,Latin
You fool,A amduqqer,,Latin
You fool,A tamduqqert,,Latin
You lost,Txeṣred,,Latin
You lost,Txeṣrem,,Latin
You lost,Txeṣremt,,Latin
After you,Zwir kecc,,Latin
After you,Zwir kemm,,Latin
After you,Zwir kečč,,Latin
After you,Zwiret kenwi,,Latin
After you,Zwiremt kennemti,,Latin
Answer me,Erriyid,,Latin
Avoid war,Ssanaf i umgaru,,Latin
Be seated,Qqim,,Latin
Be seated,Qqimet,,Latin
Be seated,Qqimem,,Latin
Be seated,Qqimemt,,Latin
Be strong,Ili d ujhid,,Latin
Be strong,Ili d tujhidt,,Latin
Be strong,Ilit d ujhiden,,Latin
Be strong,Ilim d ujhiden,,Latin
Be strong,Ilimt d tujhidin,,Latin
Begin now,Bdu tura,,Latin
Bless you,Ad akibarek Yuc,,Latin
Bless you,Ad amibarek Yuc,,Latin
Call home,Ɣerasen i wayt wexxam,,Latin
Call home,Ɣerasen ɣer wexxam,,Latin
Calm down,Ssers imannnek,,Latin
Calm down,Ssers imannnem,,Latin
Calm down,Sserset imannwen,,Latin
Calm down,Ssersemt imannwent,,Latin
Calm down,Hedden imannnek,,Latin
Calm down,Hedden imannnem,,Latin
Calm down,Heddnet imannwen,,Latin
Calm down,Heddnemt imannwent,,Latin
Can I eat,Zemreɣ ad ččeɣ,,Latin
Catch Tom,Ḍḍefd Tom,,Latin
Catch Tom,Ḍḍfetd Tom,,Latin
Catch Tom,Ḍḍfemtd Tom,,Latin
Catch Tom,Ḍḍfemd Tom,,Latin
Catch Tom,Ṭṭefd Tom,,Latin
Catch Tom,Ṭṭfetd Tom,,Latin
Catch Tom,Ṭṭfemd Tom,,Latin
Catch Tom,Ṭṭfemtd Tom,,Latin
Catch him,Ḍḍefitid,,Latin
Change it,Ssenfelit,,Latin
Change it,Ssenfelitt,,Latin
Choose me,Freniyi,,Latin
Choose me,Fernetiyi,,Latin
Choose me,Fernemiyi,,Latin
Choose me,Fernemtiyi,,Latin
Clear out,Ffeɣ sega,,Latin
Come back,Qqeld,,Latin
Come back,Qqletd,,Latin
Come back,Qqlemtd,,Latin
Come here,Asd ɣer da,,Latin
Come here,,ⴰⵛⴽⵉⴷ ⵙ ⵖⵉⴷ,tifinagh
Come home,Asd s tgemmi,,Latin
Come home,Uɣald ɣer wexxam,,Latin
Come home,Uɣald ɣer taddart,,Latin
Come soon,Ur ttɛeḍḍil ara ad dtased,,Latin
Come soon,Ur ttɛeḍḍilet ara ad dtasem,,Latin
Come soon,Ur ttɛeḍḍilemt ara ad dtasemt,,Latin
Cool down,Hedden imannnek,,Latin
Cool down,Hedden imannnem,,Latin
